,implied_vol,premium,delta,vega,value
2013-09-18,0.16249603278688524,672.6305541680304,-0.36066550148196197,5755.099212041247,0.0
2013-09-19,0.1620067868852459,683.1637251634947,-0.36643920178565925,5762.940972613903,0.0
2013-09-20,0.1589676775956284,734.7397546752009,-0.39422161016468793,5814.33876006248,0.0
2013-09-23,0.16279341530054645,772.7448150571663,-0.4028971411623209,5804.113454016933,0.0
2013-09-24,0.16139287978142078,790.5072254034103,-0.4133051563176918,5806.653276035471,0.0
2013-09-25,0.16169147540983606,816.5332681059372,-0.4232851416136182,5805.56404915931,0.0
2013-09-26,0.16327654098360656,801.2975722279116,-0.4145224058171804,5791.35682904296,0.0
2013-09-27,0.16439199453551914,835.8120441398896,-0.4258958092053128,5790.302784890017,0.0
2013-09-30,0.16473773224043717,889.7209045186473,-0.4468604563277841,5765.237891694888,0.0
2013-10-01,0.16669390710382515,872.1803432934821,-0.4366882432500038,5758.548227710504,0.0
2013-10-02,0.16850939344262295,907.0459692171662,-0.4460945556478223,5748.025716717065,0.0
2013-10-03,0.16579397267759563,952.5508370313628,-0.46888997747943684,5722.6797878799125,3.519530000001396
2013-10-04,0.17007328415300546,940.4359739677411,-0.45577147651710187,5725.240071600341,0.0
2013-10-07,0.1668986830601093,981.7182364998034,-0.4789350812671877,5675.027709050062,63.75976999999875
2013-10-08,0.16709896721311476,1060.0655626153293,-0.5058902252146529,5613.099724434553,223.4697300000007
2013-10-09,0.1689228524590164,1055.5649319688555,-0.5008005318319213,5615.24739870645,197.0195300000014
2013-10-10,0.170653956284153,910.8176105215553,-0.4472281533041707,5678.92010085297,0.0
2013-10-11,0.17019133333333333,858.0491816790518,-0.42940873805047164,5671.949740160702,0.0
2013-10-14,0.16815907103825137,814.9452049912306,-0.4189206208029419,5640.75879452314,0.0
2013-10-15,0.1647765792349727,851.6720947374579,-0.4406309527563354,5637.932843790508,0.0
2013-10-16,0.16726235519125685,777.0155248345982,-0.40705710023587965,5612.322013741225,0.0
2013-10-17,0.1675244043715847,777.9173220479079,-0.40740728758473366,5604.0194780958145,0.0
2013-10-18,0.1664317868852459,759.0081888104396,-0.40264381241170133,5588.967804934937,0.0
2013-10-21,0.1650273224043716,749.8412130585839,-0.40339058640052694,5562.733046413346,0.0
2013-10-22,0.1636467049180328,710.7841415052635,-0.3906737583774114,5533.3551764909,0.0
2013-10-23,0.1661008907103825,744.4133785422873,-0.4000735509926362,5540.985962172819,0.0
2013-10-24,0.16583396721311475,703.8757557673516,-0.38448357793748633,5505.213853961736,0.0
2013-10-25,0.16781281967213116,690.084657238126,-0.37541092618734623,5478.067559531074,0.0
2013-10-28,0.1690236393442623,692.791292367614,-0.3757682790324237,5452.991159435267,0.0
2013-10-29,0.17090787978142077,660.5907179657697,-0.35928098703622147,5402.543669056726,0.0
2013-10-30,0.1686831967213115,669.4587868314275,-0.3676631034572392,5414.700564377191,0.0
2013-10-31,0.1681808306010929,692.5023397918931,-0.37882576888887076,5432.1957275452305,0.0
2013-11-01,0.17099640983606557,680.1691409021614,-0.368865404130281,5401.832802215824,0.0
2013-11-04,0.17012569398907104,662.3320849060347,-0.3645307495265704,5362.4157158242715,0.0
2013-11-05,0.17156936612021859,676.2232167283846,-0.3682366790892988,5364.440508478065,0.0
2013-11-06,0.1723106775956284,632.5365852567656,-0.3488627913069041,5299.138015173882,0.0
2013-11-07,0.16652215300546447,655.1418954121527,-0.3697860980760981,5345.747537338035,0.0
2013-11-08,0.17276409289617486,626.7221479524869,-0.3465720197826959,5273.74456930682,0.0
2013-11-11,0.17218581420765028,611.7850099548496,-0.3426277516803541,5231.948171848089,0.0
2013-11-12,0.17260842076502733,623.6670324494271,-0.3475739523458535,5240.3641582009595,0.0
2013-11-13,0.1789904043715847,631.0689446038095,-0.3402202136524118,5213.040190548235,0.0
2013-11-14,0.17488102185792348,589.9034305941441,-0.32989946241066803,5159.507246785998,0.0
2013-11-15,0.1758923169398907,565.867358849353,-0.3180646964127337,5101.176259272531,0.0
2013-11-18,0.17443261202185792,549.3483817269898,-0.314483658420877,5055.163485512494,0.0
2013-11-19,0.17647848087431695,561.0010175534262,-0.316907045530659,5060.11966566933,0.0
2013-11-20,0.17656215846994538,581.1638010795241,-0.32625664292191564,5091.592465552027,0.0
2013-11-21,0.17641154644808743,544.1047399622685,-0.31037935312280074,5011.150308135915,0.0
2013-11-22,0.17588819672131148,523.1867832428698,-0.30211916952756473,4960.031025833311,0.0
2013-11-25,0.17441358469945356,509.0090494931801,-0.29927819739198025,4915.331130306506,0.0
2013-11-26,0.1743447868852459,507.07820619923496,-0.29896089127225656,4904.356282117536,0.0
2013-11-27,0.1751822950819672,502.3607554570408,-0.29591465070483025,4880.244336942232,0.0
2013-11-28,0.1751822950819672,500.83844613303154,-0.2956788261480837,4869.768998503234,0.0
2013-11-29,0.1752710819672131,502.98072686416526,-0.29703986202981303,4868.006613428814,0.0
2013-12-02,0.1758084863387978,524.4490438610919,-0.30777121154246817,4895.706490567568,0.0
2013-12-03,0.17784720218579234,562.5834806720623,-0.3225433267257629,4956.307553880505,0.0
2013-12-04,0.1781411092896175,570.4935227670094,-0.3261656444313791,4962.281078140837,0.0
2013-12-05,0.1742202295081967,571.9293253945671,-0.33388230846328887,4978.38256828984,0.0
2013-12-06,0.1764098469945355,517.6099329680837,-0.30564757272782617,4848.733978850775,0.0
2013-12-09,0.17301061202185794,494.9271218905578,-0.3016975485959136,4795.599695909116,0.0
2013-12-10,0.1716474644808743,502.81230439998217,-0.30821823765337786,4816.561180409867,0.0
2013-12-11,0.17146015846994536,541.5415824120291,-0.3276527903127653,4893.266959104533,0.0
2013-12-12,0.1725378469945355,580.2379842012633,-0.344454480918602,4947.564552922601,0.0
2013-12-13,0.17380531147540984,579.4168319340652,-0.3424456876121424,4932.384454128377,0.0
2013-12-16,0.17402072677595629,532.7211063685663,-0.32191640960143597,4824.712226196462,0.0
2013-12-17,0.17716184153005465,549.279294553211,-0.3251086573589207,4832.2962750417355,0.0
2013-12-18,0.17979801639344262,471.04383909191256,-0.2843411763980782,4627.605784516204,0.0
2013-12-19,0.17547748087431694,446.4467766879143,-0.2789992340619403,4579.798815357391,0.0
2013-12-20,0.1763107213114754,437.07491296431544,-0.2735516413592767,4538.705337162542,0.0
2013-12-23,0.17555945355191258,409.41837721325464,-0.2618910228942464,4434.252397804815,0.0
2013-12-24,0.17585104918032787,392.96862036976927,-0.2533591837721439,4366.887802968702,0.0
2013-12-25,0.17585104918032787,391.4559854021845,-0.2530323791718876,4355.325801890669,0.0
2013-12-26,0.17587220765027323,360.10386859088385,-0.23670893980006324,4224.808783794758,0.0
2013-12-27,0.17530503825136612,356.5877705609223,-0.23597699434931657,4208.8590563793305,0.0
2013-12-30,0.17646340983606557,350.9448537271519,-0.23276768015089944,4158.568016535086,0.0
2013-12-31,0.17835940983606557,340.7159744429332,-0.22526054729808292,4092.403249606225,0.0
2014-01-01,0.17835940983606557,339.2375963048985,-0.2248902462303362,4080.3051087403237,0.0
2014-01-02,0.17606631147540983,359.6739357997135,-0.2394191178048169,4181.990532498245,0.0
2014-01-03,0.1764802131147541,353.09200530062844,-0.23574293247211003,4145.366031294225,0.0
2014-01-06,0.17444790710382513,350.8286082551017,-0.23849442644780278,4134.8536244392535,0.0
2014-01-07,0.17506446448087432,327.3407031345264,-0.22495159918001784,4019.743651048466,0.0
2014-01-08,0.17467738251366122,339.9113160525708,-0.2330084357326352,4074.474781699519,0.0
2014-01-09,0.1724804426229508,333.6844031496007,-0.2327323369285076,4058.8267206462215,0.0
2014-01-10,0.17301598360655737,336.1808516974784,-0.23394154745740492,4060.0501633988356,0.0
2014-01-13,0.16947475956284153,360.79391457001475,-0.25420464684677757,4173.207612695553,0.0
2014-01-14,0.17329905464480874,346.3491538583139,-0.24128995694897676,4078.8066527687924,0.0
2014-01-15,0.17160226229508196,312.89320283974575,-0.224507881773076,3936.0555417205705,0.0
2014-01-16,0.17238202185792348,329.3872865320268,-0.23367320408076325,4000.8948247086482,0.0
2014-01-17,0.17330973770491803,321.9813580222908,-0.22865156816551152,3954.105882481119,0.0
2014-01-20,0.17330973770491803,317.5040803451666,-0.22744507354147153,3916.5625643495905,0.0
