Ticker,Country,State,Name,Exchange,Currency,Sector,Industry,Market Cap.,Quote Type
SWKS,United States,MA,"Skyworks Solutions, Inc.",NMS - NasdaqGS,USD,Technology,Semiconductors,12114484224.0,EQUITY
SWLSX,,,Schwab Large-Cap Growth Fund,NAS - Nasdaq,USD,,,,MUTUALFUND
SWM.AX,Australia,WA,Seven West Media Limited,ASX - ASX,AUD,Consumer Cyclical,Media - Diversified,738807296.0,EQUITY
SWM.F,Sweden,,Swedish Match AB (publ),FRA - Frankfurt,EUR,Consumer Defensive,Tobacco,7006645760.0,EQUITY
SWN,United States,TX,Southwestern Energy Company,NYQ - NYSE,USD,Energy,Oil & Gas E&P,1887143936.0,EQUITY
SWP.TO,Canada,BC,Swiss Water Decaffeinated Coffee Inc.,TOR - Toronto,CAD,Consumer Defensive,Packaged Foods,59803984.0,EQUITY
SXX.L,United Kingdom,,Sirius Minerals Plc,LSE - LSE,GBp,Basic Materials,Agricultural Inputs,1101464064.0,EQUITY
SY1.DE,Germany,,Symrise AG,GER - XETRA,EUR,Basic Materials,Specialty Chemicals,11904033792.0,EQUITY
SY1.F,Germany,,Symrise AG,FRA - Frankfurt,EUR,Basic Materials,Specialty Chemicals,11763860480.0,EQUITY
SYD.AX,Australia,NSW,Sydney Airport Limited,ASX - ASX,AUD,Industrials,Airports & Air Services,17153808384.0,EQUITY
SYK,United States,MI,Stryker Corporation,NYQ - NYSE,USD,Healthcare,Medical Devices,72494301184.0,EQUITY
SYK.F,United States,MI,Stryker Corporation,FRA - Frankfurt,EUR,Healthcare,Medical Devices,64360243200.0,EQUITY
SYM.F,United States,CA,Symantec Corporation,FRA - Frankfurt,EUR,Technology,Software - Application,10867852288.0,EQUITY
SYMC,United States,CA,Symantec Corporation,NMS - NasdaqGS,USD,Technology,Software - Application,11838414848.0,EQUITY
SYP.F,United States,CA,"Synopsys, Inc.",FRA - Frankfurt,EUR,Technology,Software - Application,16473699328.0,EQUITY
SYY,United States,TX,Sysco Corporation,NYQ - NYSE,USD,Consumer Defensive,Food Distribution,36749213696.0,EQUITY
SYY.F,United States,TX,Sysco Corporation,FRA - Frankfurt,EUR,Consumer Defensive,Food Distribution,32700080128.0,EQUITY
SZ1.F,France,,Suez SA,FRA - Frankfurt,EUR,Utilities,Utilities - Regulated Water,7632584192.0,EQUITY
SZ31.F,Indonesia,,PT Sampoerna Agro Tbk,FRA - Frankfurt,EUR,Consumer Defensive,Farm Products,248786992.0,EQUITY
SZD.F,Japan,,"Santen Pharmaceutical Co., Ltd.",FRA - Frankfurt,EUR,Healthcare,Drug Manufacturers - Major,5029237760.0,EQUITY
T,United States,TX,AT&T Inc.,NYQ - NYSE,USD,Communication Services,Telecom Services,237116260352.0,EQUITY
T12.SI,Singapore,,Tat Seng Packaging Group Ltd,SES - SES,SGD,Consumer Cyclical,Packaging & Containers,77028000.0,EQUITY
T2V1.F,Denmark,,Tryg A/S,FRA - Frankfurt,EUR,Financial Services,Insurance - Diversified,8740439040.0,EQUITY
T4I.F,Belgium,,Telenet Group Holding NV,FRA - Frankfurt,EUR,,,5377698816.0,EQUITY
T5N.F,Estonia,,AS Tallink Grupp,FRA - Frankfurt,EUR,Industrials,Shipping & Ports,710155904.0,EQUITY
T7D.F,United States,OH,TransDigm Group Incorporated,FRA - Frankfurt,EUR,Industrials,Aerospace & Defense,22895020032.0,EQUITY
T82U.SI,Singapore,,Suntec Real Estate Investment Trust,SES - SES,SGD,Real Estate,REIT - Diversified,5198049280.0,EQUITY
TAH.AX,Australia,VIC,Tabcorp Holdings Limited,ASX - ASX,AUD,Consumer Cyclical,Gambling,9029708800.0,EQUITY
TAK,Japan,,Takeda Pharmaceutical Company Limited,NYQ - NYSE,USD,Healthcare,Drug Manufacturers - Specialty & Generic,50966241280.0,EQUITY
TAN,,,Invesco Solar ETF,PCX - NYSEArca,USD,,,,ETF
TAP,United States,CO,Molson Coors Brewing Company,NYQ - NYSE,USD,Consumer Defensive,Beverages - Brewers,12327282688.0,EQUITY
TAP-A,United States,CO,Molson Coors Brewing Company,NYQ - NYSE,USD,Consumer Defensive,Beverages - Brewers,12545836032.0,EQUITY
TAREX,,,Third Avenue Real Estate Value Fund Institutional Class,NAS - Nasdaq,USD,,,,MUTUALFUND
TAST,United States,NY,"Carrols Restaurant Group, Inc.",NMS - NasdaqGS,USD,Consumer Cyclical,Restaurants,375789344.0,EQUITY
TATACOFFEE.BO,India,,Tata Coffee Limited,BSE - BSE,INR,Consumer Defensive,Packaged Foods,16529144832.0,EQUITY
TATAELXSI.BO,India,,Tata Elxsi Limited,BSE - BSE,INR,Technology,Software - Application,53264658432.0,EQUITY
TATAELXSI.NS,India,,Tata Elxsi Limited,NSI - NSE,INR,Technology,Software - Application,53428506624.0,EQUITY
TATAMTRDVR.BO,India,,Tata Motors Limited,BSE - BSE,INR,Consumer Cyclical,Auto Manufacturers,524307431424.0,EQUITY
TATASPONGE.BO,India,,Tata Sponge Iron Limited,BSE - BSE,INR,Basic Materials,Steel,10927839232.0,EQUITY
TATASTEEL.BO,India,,Tata Steel Limited,BSE - BSE,INR,Basic Materials,Steel,552510160896.0,EQUITY
TAVFX,,,Third Avenue Value Fund Institutional Class,NAS - Nasdaq,USD,,,,MUTUALFUND
TAY.F,Japan,,Mitsubishi Tanabe Pharma Corporation,FRA - Frankfurt,EUR,Healthcare,Drug Manufacturers - Specialty & Generic,5707185152.0,EQUITY
TB5.F,United States,CA,Trimble Inc.,FRA - Frankfurt,EUR,Technology,Scientific & Technical Instruments,9482670080.0,EQUITY
TBH.F,United States,PA,Teleflex Incorporated,FRA - Frankfurt,EUR,Healthcare,Medical Instruments & Supplies,12465782784.0,EQUITY
TCAP.L,United Kingdom,,TP ICAP plc,LSE - LSE,GBp,Financial Services,Capital Markets,1544242176.0,EQUITY
TCELL.IS,Turkey,,Turkcell Iletisim Hizmetleri A.S.,IST - Istanbul,TRY,Communication Services,Telecom Services,26451341312.0,EQUITY
TCID.F,Indonesia,,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,FRA - Frankfurt,EUR,Communication Services,Telecom Services,23180564480.0,EQUITY
TCL.AX,Australia,VIC,Transurban Group,ASX - ASX,AUD,Industrials,Infrastructure Operations,38149779456.0,EQUITY
TCO.F,United Kingdom,,Tesco PLC,FRA - Frankfurt,EUR,Consumer Defensive,Grocery Stores,26519056384.0,EQUITY
TCS.NS,India,,Tata Consultancy Services Limited,NSI - NSE,INR,Technology,Information Technology Services,8186755022848.0,EQUITY
TCW.F,Japan,,"Tokyu Construction Co., Ltd.",FRA - Frankfurt,EUR,Industrials,Engineering & Construction,658306240.0,EQUITY
TD,Canada,ON,The Toronto-Dominion Bank,NYQ - NYSE,USD,Financial Services,Banks - Global,104065482752.0,EQUITY
TD.TO,Canada,ON,The Toronto-Dominion Bank,TOR - Toronto,CAD,Financial Services,Banks - Global,137733373952.0,EQUITY
TDB.F,Canada,ON,The Toronto-Dominion Bank,FRA - Frankfurt,EUR,Financial Services,Banks - Global,93905158144.0,EQUITY
TDC,United States,CA,Teradata Corporation,NYQ - NYSE,USD,Technology,Data Storage,4197334016.0,EQUITY
TDG,United States,OH,TransDigm Group Incorporated,NYQ - NYSE,USD,Industrials,Aerospace & Defense,24934991872.0,EQUITY
TDK.F,Japan,,TDK Corporation,FRA - Frankfurt,EUR,Technology,Electronic Components,7528338944.0,EQUITY
TDW,United States,TX,Tidewater Inc.,NYQ - NYSE,USD,Energy,Oil & Gas Equipment & Services,826440064.0,EQUITY
TE8N.F,Switzerland,,Temenos AG,FRA - Frankfurt,EUR,Technology,Software - Infrastructure,10538169344.0,EQUITY
TECA.F,Japan,,Toshiba Tec Corporation,FRA - Frankfurt,EUR,Technology,Computer Systems,1220030080.0,EQUITY
