This file was created using the 201904 Bloomberg database.,,,,,,,,,,,
,,,,,,,,,,,
Missing data are indicated by -99.99.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Mkt-RF,SMB,HML,RMW,CMA,RF,Mkt-RF_log,SMB_log,HML_log,RMW_log,CMA_log
19901120,-1.23,0.07,0.32,0.19,-0.47,0.03,-1.237627107,0.069975511,0.31948909,0.189819728,-0.471107973
19901121,-0.95,-0.26,0.06,-0.05,-0.38,0.03,-0.954541284,-0.260338587,0.059982007,-0.050012504,-0.380723834
19901122,2.43,-1.06,-0.3,0.54,0.14,0.03,2.400945246,-1.065658019,-0.300450902,0.538547228,0.139902091
19901123,-0.05,0,0,0,0,0.03,-0.050012504,0,0,0,0
19901126,-0.19,-0.43,-0.22,0.23,0.07,0.03,-0.190180729,-0.430927159,-0.220242356,0.229735905,0.069975511
19901127,-0.36,-0.08,0.17,0.24,0.01,0.03,-0.360649559,-0.080032017,0.169855664,0.23971246,0.0099995
19901128,-3.22,-0.01,0.19,0.63,-0.39,0.03,-3.272982462,-0.0100005,0.189819728,0.628023796,-0.390762483
19901129,-3.8,-1.08,-0.47,0.18,-0.42,0.03,-3.874082832,-1.085874333,-0.471107973,0.179838194,-0.420884477
19901130,-1.47,-1.57,0.17,0.11,-0.06,0.03,-1.480911565,-1.582455035,0.169855664,0.109939544,-0.060018007
19901203,0.05,-0.11,0.08,-0.42,0.22,0.03,0.049987504,-0.110060544,0.079968017,-0.420884477,0.219758354
19901204,-2.59,-0.34,-0.02,0.48,-0.75,0.03,-2.624131121,-0.340579313,-0.020002,0.478851673,-0.752826642
19901205,0.53,-2.42,0.31,0.36,0.65,0.03,0.528600443,-2.44976316,0.309520491,0.359353551,0.64789661
19901206,3.24,-1.39,-0.05,0.06,0,0.03,3.188618886,-1.399750964,-0.050012504,0.059982007,0
19901207,5.28,-0.65,-0.51,-0.86,1.2,0.03,5.145328159,-0.652121699,-0.511304939,-0.86371934,1.192857087
19901210,0.37,1.46,-0.59,-0.28,0.57,0.03,0.369317184,1.449444615,-0.591747376,-0.280392733,0.568381647
19901211,0.61,0.17,-0.34,-0.17,0.24,0.03,0.608147032,0.169855664,-0.340579313,-0.170144664,0.23971246
19901212,0.66,0.44,-0.96,0.33,0.48,0.03,0.657831536,0.43903483,-0.964637705,0.329456695,0.478851673
19901213,1.56,-0.83,-0.44,-0.07,0.51,0.03,1.547957085,-0.833463679,-0.440970849,-0.070024511,0.508703905
19901214,-1.24,0.45,-0.68,0.25,0.59,0.03,-1.247752151,0.448990527,-0.682322535,0.24968802,0.588266316
19901217,-1.44,0.3,0,0.12,-0.6,0.03,-1.45046862,0.299550898,0,0.119928058,-0.601807233
19901218,0.56,-1.17,0.15,0.8,0.05,0.03,0.558437829,-1.17689836,0.149887612,0.796816965,0.049987504
19901219,0.86,-0.89,-0.6,0.55,-0.76,0.03,0.856323066,-0.893984157,-0.601807233,0.548493023,-0.762902716
19901220,-2.02,-0.13,0.25,-0.07,-0.4,0.03,-2.040680978,-0.130084573,0.24968802,-0.070024511,-0.40080214
19901221,-2.21,-0.14,-0.12,-0.52,0.36,0.03,-2.234786366,-0.140098092,-0.120072058,-0.521356705,0.359353551
19901224,-0.36,0,0,0,0,0.03,-0.360649559,0,0,0,0
19901225,-2.14,0.46,0.29,-0.4,-0.48,0.03,-2.163230013,0.458945233,0.289580311,-0.40080214,-0.4811557
19901226,0.09,-1.01,-0.13,0.44,0.34,0.03,0.089959524,-1.015135106,-0.130084573,0.43903483,0.339423307
19901227,0.32,-0.09,-0.5,0.18,0.29,0.03,0.31948909,-0.090040524,-0.501254182,0.179838194,0.289580311
19901228,0.58,-0.34,0.12,0.01,-0.58,0.03,0.578324476,-0.340579313,0.119928058,0.0099995,-0.581688532
19901231,-0.49,0,0,0,0,0.03,-0.491204436,0,0,0,0
19910101,0.44,0,0,0,0,0.02,0.43903483,0,0,0,0
19910102,0.37,0,0,0,0,0.02,0.369317184,0,0,0,0
19910103,1.15,-0.02,-0.02,-0.01,-0.01,0.02,1.143437763,-0.020002,-0.020002,-0.0100005,-0.0100005
19910104,-1.18,-0.56,-0.69,0.11,0.86,0.02,-1.187017257,-0.561573879,-0.692391507,0.109939544,0.856323066
19910107,-2.18,0.26,0.42,0.2,-0.71,0.02,-2.204113088,0.259662585,0.419120462,0.199800266,-0.712532494
19910108,-2.46,0.21,1.08,-0.18,-0.3,0.02,-2.490763571,0.209779808,1.074209653,-0.180162195,-0.300450902
19910109,1.39,-0.82,0.29,0.08,0.95,0.02,1.380428098,-0.823380493,0.289580311,0.079968017,0.945515877
19910110,-0.07,-1.27,0.03,0.17,0.05,0.02,-0.070024511,-1.278133436,0.029995501,0.169855664,0.049987504
19910111,0.95,-0.46,0.43,-0.34,0.18,0.02,0.945515877,-0.461061256,0.429078142,-0.340579313,0.179838194
19910114,-0.52,-0.66,0.06,0.54,-0.16,0.02,-0.521356705,-0.662187631,0.059982007,0.538547228,-0.160128137
19910115,-0.65,-0.01,0,-0.02,0,0.02,-0.652121699,-0.0100005,0,-0.020002,0
19910116,-3.28,-0.26,0.32,0.24,-0.28,0.02,-3.334997968,-0.260338587,0.31948909,0.23971246,-0.280392733
19910117,6.42,-2.46,-0.25,-0.07,0.31,0.02,6.222334318,-2.490763571,-0.250313022,-0.070024511,0.309520491
