This file was created using the 201904 Bloomberg database.,,,,,,,,,,,
,,,,,,,,,,,
Missing data are indicated by -99.99.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Mkt-RF,SMB,HML,RMW,CMA,RF,Mkt-RF_log,SMB_log,HML_log,RMW_log,CMA_log
19901220,-1.52,0.44,-0.05,-0.08,-0.1,0.03,-1.531670411,0.43903483,-0.050012504,-0.080032017,-0.100050033
19901221,-0.97,0.19,0.1,0.06,0.03,0.03,-0.974735145,0.189819728,0.099950033,0.059982007,0.029995501
19901224,-0.56,0.01,0.05,-0.04,0.04,0.03,-0.561573879,0.0099995,0.049987504,-0.040008002,0.039992002
19901225,-0.75,0.6,0.12,-0.18,-0.07,0.03,-0.752826642,0.598207168,0.119928058,-0.180162195,-0.070024511
19901226,0.21,-0.09,-0.01,0.15,0.21,0.03,0.209779808,-0.090040524,-0.0100005,0.149887612,0.209779808
19901227,-0.07,0.07,-0.17,0.07,-0.03,0.03,-0.070024511,0.069975511,-0.170144664,0.069975511,-0.030004501
19901228,0.66,0.2,0.04,0.08,-0.13,0.03,0.657831536,0.199800266,0.039992002,0.079968017,-0.130084573
19901231,0.01,0.49,-0.11,-0.05,-0.11,0.03,0.0099995,0.488803407,-0.110060544,-0.050012504,-0.110060544
19910101,0.14,-0.11,-0.03,0.01,0,0.02,0.139902091,-0.110060544,-0.030004501,0.0099995,0
19910102,-0.25,0.24,0.43,-0.23,0,0.02,-0.250313022,0.23971246,0.429078142,-0.230264906,0
19910103,-0.09,-0.33,0.26,-0.11,0.03,0.02,-0.090040524,-0.330545701,0.259662585,-0.110060544,0.029995501
19910104,-0.58,0.02,0.04,0.05,0.29,0.02,-0.581688532,0.019998,0.039992002,0.049987504,0.289580311
19910107,-2.09,0.47,0.23,-0.08,-0.12,0.02,-2.112149662,0.468898949,0.229735905,-0.080032017,-0.120072058
19910108,-1.28,0.39,0.25,0.05,0.19,0.02,-1.288262583,0.389241472,0.24968802,0.049987504,0.189819728
19910109,0.59,-0.7,0.22,-0.07,0.06,0.02,0.588266316,-0.702461494,0.219758354,-0.070024511,0.059982007
19910110,0.07,-0.39,-0.13,0.26,-0.34,0.02,0.069975511,-0.390762483,-0.130084573,0.259662585,-0.340579313
19910111,0.32,-0.46,-0.09,0.09,0.01,0.02,0.31948909,-0.461061256,-0.090040524,0.089959524,0.0099995
19910114,-1.13,-0.28,-0.13,0.14,-0.03,0.02,-1.136433008,-0.280392733,-0.130084573,0.139902091,-0.030004501
19910115,-0.26,-0.1,-0.14,0.08,-0.05,0.02,-0.260338587,-0.100050033,-0.140098092,0.079968017,-0.050012504
19910116,-0.95,0.75,-0.02,0.14,-0.34,0.02,-0.954541284,0.747201484,-0.020002,0.139902091,-0.340579313
19910117,4.88,-2.34,-0.15,0.55,-0.38,0.02,4.764665347,-2.367812735,-0.150112613,0.548493023,-0.380723834
19910118,0.94,-0.52,-0.34,0.34,-0.19,0.02,0.935609492,-0.521356705,-0.340579313,0.339423307,-0.190180729
19910121,-0.42,0.61,0.12,-0.02,-0.19,0.02,-0.420884477,0.608147032,0.119928058,-0.020002,-0.190180729
