This file was created by CMPT_ME_BEME_OP_INV_RETS_DAILY using the 201904 CRSP database.,,,,,,,,,,,
The 1-month TBill return is from Ibbotson and Associates, Inc.,,,,,,,,,,
,Mkt-RF_simple,SMB_simple,HML_simple,RMW_simple,CMA_simple,RF,Mkt-RF_log,SMB_log,HML_log,RMW_log,CMA_log
19631210,0.06,-0.13,0.2,0.19,0.18,0.014,0.059982007,-0.130084573,0.199800266,0.189819728,0.179838194
19631211,-0.14,0.05,0.09,-0.27,-0.16,0.014,-0.140098092,0.049987504,0.089959524,-0.270365157,-0.160128137
19631212,-0.03,-0.16,-0.07,0.06,0.37,0.014,-0.030004501,-0.160128137,-0.070024511,0.059982007,0.369317184
19631213,0.16,-0.06,0.11,-0.13,-0.02,0.014,0.159872136,-0.060018007,0.109939544,-0.130084573,-0.020002
19631216,0.25,-0.48,-0.03,0.03,-0.2,0.014,0.24968802,-0.4811557,-0.030004501,0.029995501,-0.200200267
19631217,0.44,-0.64,0.06,0.2,-0.7,0.014,0.43903483,-0.64205678,0.059982007,0.199800266,-0.702461494
19631218,-0.18,-0.14,0.57,-0.43,0.61,0.014,-0.180162195,-0.140098092,0.568381647,-0.430927159,0.608147032
19631219,-0.33,-0.08,-0.44,-0.02,0.25,0.014,-0.330545701,-0.080032017,-0.440970849,-0.020002,0.24968802
19631220,-0.2,-0.23,0.11,-0.06,0.44,0.014,-0.200200267,-0.230264906,0.109939544,-0.060018007,0.43903483
19631223,-0.6,0.25,-0.07,-0.46,0.09,0.014,-0.601807233,0.24968802,-0.070024511,-0.461061256,0.089959524
19631224,0.23,0.18,-0.15,0.27,-0.59,0.014,0.229735905,0.179838194,-0.150112613,0.269636155,-0.591747376
19631226,0.47,0.13,0.08,-0.07,0.03,0.014,0.468898949,0.129915573,0.079968017,-0.070024511,0.029995501
19631227,0.16,0.09,-0.14,-0.11,-0.08,0.014,0.159872136,0.089959524,-0.140098092,-0.110060544,-0.080032017
19631230,0.1,-0.31,-0.17,0.47,-0.4,0.014,0.099950033,-0.310481495,-0.170144664,0.468898949,-0.40080214
19631231,0.56,0.44,-0.11,0.2,-0.15,0.014,0.558437829,0.43903483,-0.110060544,0.199800266,-0.150112613
19640102,0.6,0.62,0.59,-0.36,0.04,0.013,0.598207168,0.618085908,0.588266316,-0.360649559,0.039992002
19640103,0.17,0.22,0.38,-0.31,0.45,0.013,0.169855664,0.219758354,0.379279824,-0.310481495,0.448990527
19640106,0.23,0.11,0.02,-0.23,0.4,0.013,0.229735905,0.109939544,0.019998,-0.230264906,0.399202127
19640107,0.04,0.21,0.76,-0.45,0.93,0.013,0.039992002,0.209779808,0.75712655,-0.451015548,0.925702126
19640108,0.34,0.03,-0.15,0.23,-0.02,0.013,0.339423307,0.029995501,-0.150112613,0.229735905,-0.020002
19640109,0.3,-0.15,-0.32,0.46,-0.85,0.013,0.299550898,-0.150112613,-0.320513095,0.458945233,-0.853633102
19640110,-0.04,0.02,-0.12,0.16,-0.01,0.013,-0.040008002,0.019998,-0.120072058,0.159872136,-0.0100005
19640113,-0.1,0.12,0.45,-0.22,0.37,0.013,-0.100050033,0.119928058,0.448990527,-0.220242356,0.369317184
19640114,0.15,-0.21,0.64,-0.2,0.42,0.013,0.149887612,-0.210220809,0.637960696,-0.200200267,0.419120462
19640115,0.24,-0.28,-0.11,-0.05,-0.34,0.013,0.23971246,-0.280392733,-0.110060544,-0.050012504,-0.340579313
19640116,-0.1,0.22,-0.32,-0.22,0.05,0.013,-0.100050033,0.219758354,-0.320513095,-0.220242356,0.049987504
19640117,-0.02,0.28,-0.03,0.19,0.02,0.013,-0.020002,0.27960873,-0.030004501,0.189819728,0.019998
19640120,-0.21,0.15,-0.54,0.42,-0.27,0.013,-0.210220809,0.149887612,-0.54146327,0.419120462,-0.270365157
19640121,0.26,-0.43,0.07,0.13,0.24,0.013,0.259662585,-0.430927159,0.069975511,0.129915573,0.23971246
19640122,0.48,-0.22,0.41,-0.31,-0.03,0.013,0.478851673,-0.220242356,0.40916179,-0.310481495,-0.030004501
19640123,0.09,0,0.16,0.46,0,0.013,0.089959524,0,0.159872136,0.458945233,0
19640124,0.04,0.32,0.18,-0.06,-0.22,0.013,0.039992002,0.31948909,0.179838194,-0.060018007,-0.220242356
19640127,-0.11,-0.45,0.06,-0.36,0.41,0.013,-0.110060544,-0.451015548,0.059982007,-0.360649559,0.40916179
19640128,-0.01,-0.22,0.18,-0.16,0.21,0.013,-0.0100005,-0.220242356,0.179838194,-0.160128137,0.209779808
19640129,-0.58,-0.01,-0.15,-0.18,0.02,0.013,-0.581688532,-0.0100005,-0.150112613,-0.180162195,0.019998
19640130,0.04,0.07,-0.3,0.88,-0.13,0.013,0.039992002,0.069975511,-0.300450902,0.876150567,-0.130084573
19640131,0.38,-0.33,-0.19,0.35,-0.21,0.013,0.379279824,-0.330545701,-0.190180729,0.349388925,-0.210220809
19640203,0,0.03,0.06,-0.33,0.19,0.014,0,0.029995501,0.059982007,-0.330545701,0.189819728
19640204,-0.13,-0.29,-0.2,-0.14,0.3,0.014,-0.130084573,-0.290421315,-0.200200267,-0.140098092,0.299550898
19640205,-0.08,0.07,0.29,0.02,0.39,0.014,-0.080032017,0.069975511,0.289580311,0.019998,0.389241472
19640206,0.24,0.04,-0.23,0.06,-0.04,0.014,0.23971246,0.039992002,-0.230264906,0.059982007,-0.040008002
19640207,0.37,-0.03,0.12,0.12,0.34,0.014,0.369317184,-0.030004501,0.119928058,0.119928058,0.339423307
19640210,-0.13,0.14,-0.22,0.14,-0.14,0.014,-0.130084573,0.139902091,-0.220242356,0.139902091,-0.140098092
19640211,0.33,-0.05,-0.14,0.22,0.37,0.014,0.329456695,-0.050012504,-0.140098092,0.219758354,0.369317184
19640212,0.3,0.04,0.18,-0.01,-0.12,0.014,0.299550898,0.039992002,0.179838194,-0.0100005,-0.120072058
19640213,0.08,0,-0.06,0.15,-0.33,0.014,0.079968017,0,-0.060018007,0.149887612,-0.330545701
19640214,-0.04,0.05,0.23,-0.23,-0.21,0.014,-0.040008002,0.049987504,0.229735905,-0.230264906,-0.210220809
19640217,0.03,0.19,0.27,0.13,0.24,0.014,0.029995501,0.189819728,0.269636155,0.129915573,0.23971246
19640218,0.01,-0.23,0.53,0.02,0.12,0.014,0.0099995,-0.230264906,0.528600443,0.019998,0.119928058
19640219,0.11,-0.01,0.05,0.19,-0.23,0.014,0.109939544,-0.0100005,0.049987504,0.189819728,-0.230264906
19640220,0.09,0.01,0.7,-0.39,0.19,0.014,0.089959524,0.0099995,0.697561374,-0.390762483,0.189819728
19640224,0.1,-0.02,0.46,-0.01,0,0.014,0.099950033,-0.020002,0.458945233,-0.0100005,0
19640225,0.04,-0.07,0.17,0.13,-0.19,0.014,0.039992002,-0.070024511,0.169855664,0.129915573,-0.190180729
19640226,0.28,0.19,0.22,0.15,-0.02,0.014,0.27960873,0.189819728,0.219758354,0.149887612,-0.020002
19640227,-0.27,0.22,-0.08,-0.09,0.14,0.014,-0.270365157,0.219758354,-0.080032017,-0.090040524,0.139902091
