date,rf_rate_cad
2006-08-15,0.000201438
2006-08-16,0.000202122
2006-08-17,0.000202572
2006-08-18,0.000202572
2006-08-21,0.000200664
2006-08-22,0.000200232
2006-08-23,0.000199836
2006-08-24,0.000199764
2006-08-25,0.000199764
2006-08-28,0.00019935
2006-08-29,0.00019953
2006-08-30,0.000198774
2006-08-31,0.000198756
2006-09-01,0.00022084
2006-09-05,0.0002211
2006-09-06,0.00022202
2006-09-07,0.0002237
2006-09-08,0.0002237
2006-09-11,0.00022394
2006-09-12,0.00022392
2006-09-13,0.00022362
2006-09-14,0.0002239
2006-09-15,0.0002239
2006-09-18,0.00022542
2006-09-19,0.0002256
2006-09-20,0.00022378
2006-09-21,0.00022314
2006-09-22,0.00022314
2006-09-25,0.00022264
2006-09-26,0.00022232
2006-09-27,0.00022208
2006-09-28,0.00022338
2006-09-29,0.00022338
2006-10-02,0.000202014
2006-10-03,0.00020268
2006-10-04,0.000202608
2006-10-05,0.000202518
2006-10-06,0.000202518
2006-10-09,0.000204012
2006-10-10,0.000204714
2006-10-11,0.00020412
2006-10-12,0.00020511
2006-10-13,0.00020511
2006-10-16,0.000205218
2006-10-17,0.000204372
2006-10-18,0.000203076
2006-10-19,0.000202482
2006-10-20,0.000202482
2006-10-23,0.000202788
2006-10-24,0.00020232
2006-10-25,0.000202086
2006-10-26,0.00020151
2006-10-27,0.00020151
2006-10-30,0.000201906
2006-10-31,0.000203832
2006-11-01,0.00022664
2006-11-02,0.0002262
2006-11-03,0.0002262
2006-11-06,0.00022594
2006-11-07,0.0002258
2006-11-08,0.00022568
2006-11-09,0.00022576
2006-11-10,0.00022576
2006-11-13,0.0002275
2006-11-14,0.00022776
2006-11-15,0.00022838
2006-11-16,0.00022916
2006-11-17,0.00022916
2006-11-20,0.00022918
2006-11-21,0.00022842
2006-11-22,0.00022842
2006-11-24,0.00022684
2006-11-27,0.00022596
2006-11-28,0.00022776
2006-11-29,0.00022834
2006-11-30,0.00022896
2006-12-01,0.00022896
2006-12-04,0.00022846
2006-12-05,0.00022948
2006-12-06,0.00022996
2006-12-07,0.0002296
2006-12-08,0.0002296
2006-12-11,0.00023042
2006-12-12,0.00023114
2006-12-13,0.00023138
2006-12-14,0.00023148
2006-12-15,0.00023148
2006-12-18,0.00023026
2006-12-19,0.00022952
2006-12-20,0.000231
2006-12-21,0.000231
2006-12-22,0.000231
2006-12-26,0.00023234
2006-12-27,0.000232
2006-12-28,0.00023294
2006-12-29,0.00023294
2007-01-03,0.000259072
2007-01-04,0.000258236
2007-01-05,0.000258236
2007-01-08,0.000258742
2007-01-09,0.000258236
2007-01-10,0.00025916
2007-01-11,0.000257334
2007-01-12,0.000257334
2007-01-16,0.000257906
2007-01-17,0.000258236
2007-01-18,0.00025817
2007-01-19,0.00025817
2007-01-22,0.000259776
2007-01-23,0.000259336
2007-01-24,0.000260304
2007-01-25,0.000259622
2007-01-26,0.000259622
2007-01-29,0.000259402
2007-01-30,0.000258544
2007-01-31,0.000259402
2007-02-01,0.00023668
2007-02-02,0.00023668
2007-02-05,0.00023638
2007-02-06,0.00023692
2007-02-07,0.00023656
2007-02-08,0.00023382
2007-02-09,0.00023382
2007-02-12,0.0002335
2007-02-13,0.00023314
2007-02-14,0.0002326
2007-02-15,0.00023262
2007-02-16,0.00023262
2007-02-20,0.00023203
2007-02-21,0.00023234
2007-02-22,0.00023186
2007-02-23,0.00023186
2007-02-26,0.00023346
2007-02-27,0.00023402
2007-02-28,0.00023454
2007-03-01,0.000223535
2007-03-02,0.000223535
2007-03-05,0.000223402
2007-03-06,0.000223763
2007-03-07,0.000224105
2007-03-08,0.000222699
2007-03-09,0.000222699
2007-03-12,0.000222927
2007-03-13,0.000223364
2007-03-14,0.000223402
2007-03-15,0.000223364
2007-03-16,0.000223364
2007-03-19,0.0002204
2007-03-20,0.000219716
2007-03-21,0.000219982
2007-03-22,0.000220476
2007-03-23,0.000220476
2007-03-26,0.000219735
2007-03-27,0.000220231
2007-03-28,0.000220134
2007-03-29,0.000219317
2007-03-30,0.000219317
2007-04-02,0.000254881
2007-04-03,0.000254914
2007-04-04,0.000253198
2007-04-05,0.000253132
2007-04-09,0.000252362
2007-04-10,0.000250712
2007-04-11,0.000249612
2007-04-12,0.000250272
2007-04-13,0.000250272
2007-04-16,0.000248886
2007-04-17,0.000247962
